type,amount,category,description,date
income,4448.08,Gift,Annual bonus,2023-03-28T16:39:00
income,700.68,Gift,Project payment,2024-11-04T05:35:00
income,2800.5,Freelance,Monthly salary,2023-07-11T13:34:00
income,3218.21,Freelance,Stock dividends,2023-03-22T12:39:00
expense,269.97,Transportation,Grocery shopping,2024-09-13T04:44:00
income,861.16,Investment,Birthday gift,2024-09-11T16:15:00
expense,385.91,Rent,Doctor visit,2023-12-02T03:35:00
income,1475.83,Salary,Stock dividends,2024-04-30T18:39:00
expense,460.18,Food,Grocery shopping,2024-09-03T16:34:00
expense,233.18,Utilities,Monthly rent,2024-07-06T23:52:00
expense,86.89,Misc,Movie tickets,2023-02-08T03:26:00
income,3565.46,Bonus,Project payment,2023-02-21T08:07:00
income,4206.4,Freelance,Stock dividends,2024-10-21T19:49:00
expense,418.05,Misc,,2023-12-26T05:15:00
expense,20.9,Misc,Doctor visit,2023-12-21T15:28:00
expense,471.32,Rent,Movie tickets,2023-04-21T06:05:00
income,707.13,Investment,Monthly salary,2024-03-26T15:57:00
income,1557.01,Salary,Annual bonus,2023-05-03T03:20:00
expense,21.91,Food,Movie tickets,2023-07-16T15:59:00
expense,468.29,Misc,Electricity bill,2024-04-16T11:32:00
income,1210.71,Bonus,Birthday gift,2023-12-09T02:27:00
income,3627.8,Gift,Birthday gift,2024-08-01T08:29:00
expense,387.47,Entertainment,Monthly rent,2023-06-14T06:13:00
expense,259.53,Rent,Grocery shopping,2024-05-28T18:22:00
expense,275.52,Rent,Monthly rent,2024-10-19T08:13:00
expense,233.85,Rent,Electricity bill,2023-04-05T15:41:00
expense,117.36,Healthcare,Grocery shopping,2023-09-07T23:51:00
expense,175.35,Food,Bus fare,2024-02-09T19:32:00
expense,109.14,Misc,,2024-01-07T02:29:00
income,2019.18,Bonus,Monthly salary,2024-03-29T10:41:00
income,3568.26,Salary,Stock dividends,2023-09-07T15:24:00
income,1012.16,Investment,Annual bonus,2024-02-06T04:07:00
income,667.27,Bonus,Monthly salary,2024-10-09T03:00:00
income,804.22,Investment,Annual bonus,2023-01-07T05:32:00
income,3784.36,Investment,Project payment,2023-07-18T23:22:00
expense,126.82,Healthcare,Bus fare,2024-07-04T16:15:00
income,4680.04,Investment,Monthly salary,2024-11-30T06:01:00
expense,17.68,Healthcare,Movie tickets,2023-01-06T13:29:00
expense,249.09,Rent,Monthly rent,2024-08-10T14:15:00
income,3600.99,Gift,Annual bonus,2024-01-25T19:51:00
income,2306.2,Investment,Monthly salary,2024-11-21T02:06:00
income,3995.26,Gift,Birthday gift,2023-03-20T19:21:00
income,2671.58,Freelance,,2023-01-24T22:41:00
expense,400.12,Misc,Movie tickets,2024-06-07T15:38:00
expense,99.43,Transportation,Electricity bill,2024-07-23T09:20:00
income,1199.77,Bonus,Monthly salary,2023-04-29T17:11:00
income,2991.45,Freelance,Annual bonus,2024-07-02T22:15:00
income,2843.37,Salary,Project payment,2023-12-30T20:21:00
expense,467.01,Healthcare,Grocery shopping,2024-10-01T00:23:00
expense,88.28,Rent,Bus fare,2024-10-06T04:58:00
expense,365.83,Transportation,Monthly rent,2024-02-07T09:53:00
expense,74.44,Utilities,Doctor visit,2024-08-24T08:20:00
income,3364.23,Freelance,Project payment,2024-04-11T20:27:00
income,2993.82,Investment,Stock dividends,2023-12-05T13:00:00
expense,41.28,Transportation,Electricity bill,2024-08-19T16:50:00
expense,326.89,Transportation,Movie tickets,2023-12-19T17:57:00
expense,48.18,Entertainment,Bus fare,2024-06-26T06:28:00
expense,50.51,Entertainment,Grocery shopping,2023-07-04T04:30:00
expense,373.28,Healthcare,Movie tickets,2023-02-01T04:05:00
expense,283.03,Rent,Monthly rent,2024-09-20T21:26:00
income,1302.88,Investment,Stock dividends,2023-11-19T21:06:00
income,4526.21,Salary,Birthday gift,2023-10-19T13:38:00
expense,56.11,Entertainment,Bus fare,2024-04-19T18:03:00
income,3777.63,Investment,Project payment,2023-05-02T03:57:00
expense,161.24,Healthcare,Bus fare,2024-12-28T07:41:00
expense,465.84,Rent,Movie tickets,2023-08-28T22:21:00
income,1876.85,Freelance,Birthday gift,2024-10-11T17:50:00
income,2572.54,Freelance,Stock dividends,2023-10-11T11:20:00
expense,39.77,Transportation,Electricity bill,2024-02-14T01:12:00
expense,140.61,Healthcare,Grocery shopping,2024-10-24T08:09:00
expense,456.05,Rent,Bus fare,2023-01-26T18:40:00
income,2895.88,Bonus,Annual bonus,2023-12-11T00:04:00
expense,368.97,Food,Electricity bill,2024-10-26T03:20:00
expense,102.68,Utilities,Grocery shopping,2024-07-24T11:50:00
expense,9.67,Entertainment,Monthly rent,2024-07-10T07:35:00
expense,230.69,Misc,Grocery shopping,2024-02-03T16:58:00
income,1436.5,Bonus,Monthly salary,2023-07-12T12:45:00
income,4078.08,Investment,Birthday gift,2024-03-05T06:51:00
expense,346.2,Transportation,Movie tickets,2023-10-27T20:16:00
expense,426.68,Rent,Bus fare,2024-10-03T21:43:00
income,4865.67,Gift,Birthday gift,2023-05-04T12:59:00
income,2866.95,Investment,Project payment,2023-12-28T02:48:00
income,2354.38,Salary,Project payment,2023-04-23T17:54:00
income,4035.2,Investment,,2024-07-11T04:33:00
income,3369.21,Investment,Birthday gift,2024-05-15T18:58:00
expense,345.87,Utilities,Monthly rent,2023-10-10T20:49:00
expense,166.79,Food,Bus fare,2023-06-29T03:40:00
expense,494.83,Misc,,2024-12-15T05:41:00
expense,184.77,Misc,Monthly rent,2024-09-24T10:27:00
income,1686.53,Bonus,Monthly salary,2023-10-23T16:26:00
expense,458.19,Transportation,Grocery shopping,2023-06-25T15:24:00
expense,58.81,Food,Grocery shopping,2024-12-04T18:35:00
expense,383.23,Entertainment,Movie tickets,2023-08-04T10:44:00
expense,336.29,Transportation,,2024-05-01T20:43:00
income,566.05,Salary,Birthday gift,2024-07-25T19:24:00
income,2985.75,Freelance,Stock dividends,2023-09-12T11:24:00
income,2621.51,Freelance,Monthly salary,2024-02-04T07:41:00
income,3137.25,Bonus,Stock dividends,2023-11-20T09:59:00
expense,492.65,Entertainment,Monthly rent,2023-05-11T14:55:00
expense,377.22,Healthcare,Electricity bill,2024-05-31T13:54:00
income,3016.0,Gift,,2023-07-02T22:20:00
income,700.95,Bonus,Stock dividends,2023-02-01T11:51:00
income,2598.11,Freelance,,2023-05-19T16:38:00
expense,67.84,Transportation,Electricity bill,2023-03-10T12:34:00
expense,205.54,Misc,Doctor visit,2024-01-02T08:37:00
expense,499.78,Transportation,Movie tickets,2023-11-24T17:27:00
income,3826.87,Bonus,Annual bonus,2023-10-19T11:53:00
expense,396.69,Entertainment,Movie tickets,2024-01-18T08:12:00
income,3381.13,Investment,Birthday gift,2024-06-08T21:30:00
expense,355.85,Transportation,Movie tickets,2023-09-20T08:45:00
income,2125.27,Gift,Annual bonus,2024-03-01T02:36:00
income,4796.1,Salary,Stock dividends,2024-08-25T06:19:00
income,4269.6,Freelance,Annual bonus,2024-04-20T07:26:00
expense,397.34,Utilities,Bus fare,2023-08-14T08:40:00
income,4347.19,Gift,,2024-08-07T00:47:00
expense,498.65,Misc,Bus fare,2023-04-10T04:42:00
expense,19.28,Rent,Monthly rent,2023-02-17T15:17:00
expense,169.38,Transportation,Grocery shopping,2024-03-24T12:15:00
expense,117.25,Utilities,Electricity bill,2024-07-04T03:29:00
income,2797.55,Investment,Birthday gift,2023-10-01T03:05:00
income,2086.51,Investment,,2023-04-14T15:12:00
expense,214.32,Rent,Doctor visit,2024-08-06T00:33:00
income,569.61,Freelance,Stock dividends,2023-02-19T21:47:00
income,1364.36,Gift,Annual bonus,2024-04-01T19:38:00
income,4357.86,Salary,Monthly salary,2023-10-05T23:43:00
income,4066.86,Freelance,Project payment,2023-11-06T05:38:00
income,4736.02,Bonus,Stock dividends,2023-02-28T06:32:00
expense,469.45,Transportation,,2023-06-02T06:42:00
expense,142.79,Rent,Grocery shopping,2023-11-11T21:58:00
expense,473.6,Transportation,Movie tickets,2023-05-08T18:00:00
expense,402.51,Food,Bus fare,2023-06-16T08:00:00
income,2699.45,Freelance,Stock dividends,2023-06-02T01:39:00
income,3348.82,Salary,Project payment,2023-12-11T10:25:00
expense,468.87,Misc,Electricity bill,2024-05-29T19:14:00
expense,455.17,Rent,Movie tickets,2024-02-26T09:25:00
income,3940.7,Bonus,,2023-01-07T22:15:00
income,4977.34,Gift,Annual bonus,2024-08-04T05:09:00
income,3205.41,Freelance,Stock dividends,2023-04-16T00:04:00
expense,349.72,Rent,Grocery shopping,2023-08-07T18:47:00
expense,63.01,Entertainment,Movie tickets,2023-03-22T01:59:00
income,2443.23,Bonus,Monthly salary,2023-04-29T23:50:00
income,3322.28,Bonus,Annual bonus,2024-04-29T04:40:00
expense,153.66,Entertainment,Movie tickets,2024-02-12T10:22:00
expense,201.71,Transportation,Doctor visit,2023-10-01T16:06:00
expense,393.26,Transportation,Movie tickets,2023-01-21T03:38:00
expense,470.67,Transportation,Monthly rent,2023-02-26T10:58:00
expense,21.63,Food,Electricity bill,2024-06-14T14:16:00
expense,372.47,Transportation,Doctor visit,2024-08-29T07:08:00
income,2681.82,Freelance,Project payment,2023-01-27T06:17:00
expense,388.18,Entertainment,Electricity bill,2023-09-18T06:22:00
expense,487.36,Utilities,Grocery shopping,2023-11-13T13:45:00
expense,361.02,Entertainment,Movie tickets,2024-09-16T01:01:00
income,2515.11,Salary,Monthly salary,2024-03-11T08:12:00
expense,149.51,Misc,Grocery shopping,2023-03-16T17:26:00
income,4652.46,Freelance,Birthday gift,2024-12-04T18:28:00
income,2815.24,Freelance,Stock dividends,2024-03-02T05:07:00
income,864.22,Gift,Birthday gift,2023-11-26T09:36:00
income,4263.11,Freelance,,2023-03-11T01:30:00
income,3481.73,Freelance,,2024-02-06T21:31:00
expense,417.57,Food,Movie tickets,2024-03-11T15:10:00
income,641.82,Investment,Birthday gift,2024-07-02T13:38:00
expense,319.79,Misc,Bus fare,2023-10-17T23:57:00
expense,389.27,Rent,Movie tickets,2024-02-04T13:42:00
income,1522.56,Freelance,Monthly salary,2023-06-12T17:10:00
income,2114.49,Gift,Birthday gift,2023-03-25T13:29:00
income,3515.67,Salary,Annual bonus,2023-07-02T17:46:00
expense,299.22,Transportation,Bus fare,2024-12-15T01:18:00
expense,477.85,Entertainment,Bus fare,2024-03-06T18:17:00
expense,353.32,Healthcare,Electricity bill,2024-07-22T16:51:00
income,959.87,Freelance,,2024-08-31T10:41:00
expense,422.52,Utilities,Monthly rent,2024-03-14T17:01:00
income,4062.61,Gift,,2024-09-15T01:17:00
income,746.27,Freelance,Stock dividends,2024-05-28T12:43:00
expense,145.42,Transportation,Doctor visit,2024-05-22T23:46:00
expense,302.13,Rent,Doctor visit,2024-03-22T13:25:00
income,2726.37,Investment,Monthly salary,2023-07-30T14:11:00
expense,134.92,Rent,Doctor visit,2023-03-11T16:16:00
expense,102.78,Food,Electricity bill,2023-06-09T17:02:00
expense,328.53,Misc,Movie tickets,2023-05-29T22:42:00
income,2289.1,Investment,Monthly salary,2024-02-29T04:26:00
income,2325.82,Freelance,Annual bonus,2023-08-22T22:44:00
income,4874.7,Investment,Stock dividends,2024-01-18T18:07:00
expense,91.48,Entertainment,Doctor visit,2024-02-03T16:06:00
expense,165.62,Rent,,2024-05-30T14:37:00
expense,284.63,Healthcare,Electricity bill,2024-08-06T08:02:00
income,1535.45,Gift,Annual bonus,2024-10-14T08:08:00
expense,82.19,Transportation,Monthly rent,2024-08-02T09:26:00
income,4302.94,Salary,Annual bonus,2023-01-01T03:46:00
expense,100.44,Transportation,Grocery shopping,2024-03-09T04:23:00
expense,75.65,Food,,2024-07-03T22:50:00
income,1717.08,Salary,,2024-07-01T03:18:00
income,3540.82,Freelance,Stock dividends,2024-06-28T10:02:00
income,3881.58,Investment,,2024-11-29T11:53:00
expense,139.93,Food,Monthly rent,2024-11-20T07:08:00
income,2255.57,Bonus,Stock dividends,2024-07-31T07:27:00
expense,66.55,Entertainment,Bus fare,2024-08-23T08:49:00
income,2329.57,Investment,Annual bonus,2023-08-07T01:14:00
income,2182.4,Bonus,Monthly salary,2024-04-09T12:06:00
expense,280.59,Entertainment,Electricity bill,2024-04-06T21:50:00
income,1517.63,Investment,,2023-07-22T16:39:00
income,3722.67,Bonus,Annual bonus,2023-04-01T06:54:00
income,3793.11,Investment,Stock dividends,2023-05-26T18:03:00
income,1719.12,Freelance,Birthday gift,2024-07-16T08:19:00
expense,183.46,Entertainment,Movie tickets,2024-09-09T07:23:00
expense,255.46,Food,,2023-04-17T12:34:00
expense,265.84,Misc,Doctor visit,2024-04-24T22:14:00
expense,142.32,Misc,Monthly rent,2023-06-10T16:58:00
income,3788.83,Freelance,Annual bonus,2024-10-11T19:14:00
income,1332.13,Gift,Annual bonus,2023-05-13T12:50:00
expense,297.04,Misc,Bus fare,2024-01-29T02:54:00
income,4936.63,Freelance,Monthly salary,2023-01-20T17:16:00
income,2259.63,Salary,Stock dividends,2023-10-16T14:47:00
income,3237.2,Bonus,Monthly salary,2024-12-10T17:01:00
expense,425.35,Rent,Grocery shopping,2023-02-09T19:09:00
expense,354.49,Food,Electricity bill,2023-03-31T04:59:00
income,4636.66,Freelance,Monthly salary,2024-04-16T23:31:00
income,2827.47,Gift,Project payment,2024-06-23T08:32:00
income,2971.92,Bonus,Stock dividends,2024-05-04T19:22:00
expense,368.37,Entertainment,Movie tickets,2024-08-30T07:17:00
expense,300.9,Entertainment,Bus fare,2023-05-21T14:35:00
expense,78.09,Transportation,Monthly rent,2024-07-20T11:40:00
income,3330.02,Gift,Project payment,2024-10-11T16:54:00
income,1279.72,Salary,Annual bonus,2024-01-22T14:04:00
income,4989.98,Salary,Birthday gift,2023-05-13T14:48:00
expense,421.66,Food,Doctor visit,2023-09-05T05:38:00
income,643.15,Salary,Annual bonus,2024-08-15T09:51:00
expense,17.86,Misc,Bus fare,2023-11-06T09:02:00
expense,166.45,Misc,Bus fare,2023-02-07T03:05:00
income,2301.98,Bonus,Stock dividends,2023-10-26T02:40:00
expense,473.86,Rent,Bus fare,2024-05-05T15:43:00
expense,135.65,Healthcare,Monthly rent,2023-05-01T04:31:00
income,4146.37,Salary,Birthday gift,2024-05-23T03:25:00
income,3276.31,Investment,Monthly salary,2023-12-14T11:47:00
expense,357.38,Misc,Bus fare,2024-11-03T17:53:00
income,2154.7,Bonus,Project payment,2023-01-13T10:49:00
income,3417.06,Investment,Monthly salary,2023-08-19T14:40:00
expense,430.72,Food,Bus fare,2023-11-06T16:26:00
income,1341.61,Investment,Monthly salary,2024-01-29T17:35:00
expense,191.97,Food,Bus fare,2023-07-07T11:04:00
income,3680.91,Freelance,Project payment,2024-04-05T03:45:00
expense,415.06,Entertainment,Monthly rent,2023-03-31T17:58:00
income,3731.7,Freelance,Project payment,2024-04-02T21:57:00
expense,45.45,Rent,Bus fare,2024-05-10T21:35:00
income,3226.58,Gift,Annual bonus,2023-09-26T04:40:00
expense,181.55,Food,Bus fare,2023-04-16T20:03:00
income,2771.91,Investment,,2023-04-12T01:23:00
expense,152.59,Transportation,Monthly rent,2024-05-25T09:10:00
income,4933.81,Salary,Annual bonus,2024-06-14T20:34:00
income,967.22,Investment,,2023-12-27T01:30:00
income,4865.14,Salary,Birthday gift,2023-03-28T04:05:00
expense,377.49,Utilities,Electricity bill,2024-07-23T07:26:00
expense,492.71,Rent,Grocery shopping,2024-04-22T12:04:00
expense,162.67,Transportation,Electricity bill,2023-04-30T17:57:00
income,3196.02,Gift,Monthly salary,2023-05-23T17:06:00
expense,125.98,Utilities,Grocery shopping,2024-02-13T08:46:00
income,1386.09,Bonus,Annual bonus,2023-03-02T16:09:00
income,2800.65,Investment,,2024-03-06T22:19:00
income,2106.67,Salary,Project payment,2024-09-01T05:58:00
income,3432.97,Investment,Monthly salary,2023-06-17T07:53:00
income,604.29,Gift,Stock dividends,2024-03-24T10:24:00
expense,430.61,Rent,Doctor visit,2023-02-01T16:57:00
income,4975.53,Investment,Stock dividends,2023-08-12T20:50:00
expense,55.91,Food,Grocery shopping,2023-10-25T12:09:00
expense,366.91,Transportation,Electricity bill,2024-09-03T12:54:00
income,4989.68,Gift,Monthly salary,2023-11-23T19:06:00
expense,317.06,Misc,Monthly rent,2024-05-04T14:35:00
income,2467.44,Gift,Monthly salary,2023-11-12T18:50:00
income,1467.11,Freelance,,2024-08-07T15:45:00
expense,93.6,Utilities,Grocery shopping,2023-08-27T10:16:00
expense,479.66,Utilities,Electricity bill,2024-10-01T02:03:00
income,2850.57,Freelance,Monthly salary,2024-08-11T20:04:00
expense,262.97,Rent,Bus fare,2024-08-13T11:21:00
expense,438.69,Misc,Doctor visit,2024-11-26T07:16:00
expense,78.71,Rent,Electricity bill,2023-01-21T19:04:00
income,2270.65,Investment,Stock dividends,2024-09-22T09:56:00
income,1049.57,Gift,Project payment,2023-03-06T11:00:00
income,3167.04,Freelance,Annual bonus,2024-11-08T12:46:00
expense,479.18,Utilities,Monthly rent,2023-10-29T17:06:00
income,2325.69,Freelance,Monthly salary,2023-02-03T08:05:00
income,4482.81,Salary,Birthday gift,2023-07-13T11:40:00
income,3211.8,Gift,Birthday gift,2023-12-20T01:23:00
expense,58.4,Misc,Electricity bill,2023-05-30T13:48:00
income,3344.52,Investment,Project payment,2024-04-11T11:08:00
income,4784.53,Investment,Project payment,2024-10-29T22:09:00
expense,110.74,Rent,Bus fare,2023-03-17T11:40:00
expense,197.77,Healthcare,Monthly rent,2024-07-04T03:46:00
expense,387.37,Healthcare,,2024-08-11T19:58:00
expense,271.11,Entertainment,Bus fare,2024-06-14T15:58:00
expense,28.9,Healthcare,Doctor visit,2023-02-22T17:24:00
income,1722.26,Bonus,Annual bonus,2024-01-31T07:27:00
expense,286.23,Food,Movie tickets,2024-05-16T10:34:00
income,4509.63,Freelance,,2023-09-06T16:09:00
income,4951.12,Freelance,Birthday gift,2024-11-19T15:27:00
expense,155.26,Misc,Monthly rent,2023-07-26T06:21:00
expense,477.91,Rent,Bus fare,2023-01-15T11:02:00
income,2723.53,Gift,,2023-01-20T16:59:00
expense,262.01,Rent,Monthly rent,2024-06-29T21:13:00
expense,128.9,Utilities,Bus fare,2023-09-16T17:58:00
expense,100.9,Rent,Grocery shopping,2024-07-17T13:01:00
expense,259.91,Misc,Monthly rent,2024-04-18T19:07:00
expense,50.99,Misc,,2024-07-21T15:30:00
expense,244.41,Healthcare,Doctor visit,2024-02-21T02:08:00
income,4970.77,Bonus,Project payment,2023-06-11T06:34:00
income,4197.46,Bonus,Birthday gift,2023-08-02T17:47:00
income,4363.59,Freelance,Birthday gift,2024-06-26T02:30:00
expense,271.26,Transportation,Monthly rent,2023-04-14T14:04:00
income,3002.75,Bonus,Project payment,2024-11-02T13:14:00
income,3047.43,Salary,,2023-08-04T17:51:00
expense,406.04,Healthcare,Electricity bill,2024-08-03T16:38:00
expense,206.93,Rent,Monthly rent,2024-01-06T21:50:00
expense,52.96,Entertainment,Monthly rent,2024-03-28T00:17:00
income,4657.21,Bonus,,2023-11-08T10:48:00
expense,440.55,Food,Movie tickets,2024-09-10T01:59:00
expense,37.03,Rent,Monthly rent,2023-06-08T07:50:00
income,4033.77,Investment,Project payment,2023-01-09T23:50:00
expense,216.58,Food,Doctor visit,2024-02-10T20:53:00
income,3186.53,Investment,Annual bonus,2024-04-27T04:32:00
income,2576.75,Freelance,,2023-01-18T19:05:00
income,880.29,Bonus,Annual bonus,2024-12-05T00:06:00
income,3846.73,Investment,,2024-08-29T14:23:00
expense,77.34,Transportation,Doctor visit,2024-07-17T12:15:00
expense,143.61,Utilities,Grocery shopping,2024-06-20T07:31:00
income,1868.19,Salary,Monthly salary,2023-02-10T00:54:00
expense,15.17,Food,,2023-04-15T21:06:00
income,3421.6,Salary,Annual bonus,2023-05-01T21:11:00
expense,341.81,Entertainment,Doctor visit,2024-12-27T16:28:00
expense,487.73,Utilities,Grocery shopping,2024-04-27T10:11:00
expense,37.64,Entertainment,Grocery shopping,2024-10-29T07:14:00
expense,344.91,Transportation,Grocery shopping,2024-04-01T10:09:00
expense,338.22,Healthcare,Bus fare,2024-08-12T06:27:00
income,4683.09,Bonus,Stock dividends,2023-11-15T12:58:00
income,3307.3,Gift,Stock dividends,2024-12-15T09:42:00
income,4587.53,Bonus,Monthly salary,2023-11-03T11:13:00
expense,268.01,Transportation,Electricity bill,2023-04-13T22:24:00
income,1695.43,Salary,,2024-05-13T15:26:00
income,4791.94,Investment,Annual bonus,2024-12-25T19:30:00
income,918.16,Freelance,Stock dividends,2023-12-16T17:29:00
expense,119.21,Rent,Doctor visit,2024-05-31T20:29:00
expense,67.27,Rent,Grocery shopping,2024-02-20T17:12:00
expense,89.99,Food,Bus fare,2024-10-27T20:17:00
expense,370.17,Utilities,Movie tickets,2023-10-03T09:34:00
income,1476.07,Gift,Birthday gift,2024-02-10T05:45:00
expense,84.71,Misc,Monthly rent,2023-06-18T19:40:00
income,1476.75,Investment,Monthly salary,2024-01-21T15:24:00
expense,272.96,Transportation,Bus fare,2023-11-13T14:01:00
income,998.74,Bonus,,2023-04-15T03:25:00
income,3394.56,Freelance,Birthday gift,2023-06-06T11:20:00
income,3275.03,Investment,Project payment,2023-10-30T10:46:00
expense,205.69,Transportation,Monthly rent,2023-08-14T04:52:00
expense,35.02,Transportation,Bus fare,2023-03-01T02:50:00
expense,247.8,Food,Grocery shopping,2024-04-01T03:55:00
expense,462.71,Utilities,Doctor visit,2024-01-24T16:25:00
income,3051.42,Investment,Monthly salary,2023-03-19T10:38:00
income,1284.71,Investment,Birthday gift,2023-02-13T04:17:00
income,2449.46,Freelance,Annual bonus,2023-09-29T12:04:00
expense,217.03,Rent,Grocery shopping,2024-09-02T05:34:00
income,1936.83,Investment,Stock dividends,2023-08-29T18:46:00
income,2709.57,Bonus,Project payment,2024-06-04T09:06:00
income,3542.38,Freelance,Birthday gift,2024-03-01T09:03:00
expense,168.01,Rent,Electricity bill,2023-06-09T15:28:00
expense,206.67,Transportation,Monthly rent,2024-03-14T09:46:00
income,4531.11,Investment,Stock dividends,2023-02-23T16:53:00
income,3822.74,Bonus,Monthly salary,2023-07-05T14:13:00
income,1675.42,Gift,,2024-07-23T02:03:00
expense,174.09,Rent,Grocery shopping,2024-09-13T12:16:00
expense,84.47,Food,Bus fare,2023-12-20T04:43:00
expense,391.68,Rent,Monthly rent,2024-04-02T11:17:00
expense,208.41,Food,Movie tickets,2024-07-24T09:36:00
income,1880.1,Freelance,Birthday gift,2023-05-10T06:12:00
income,3259.68,Freelance,Monthly salary,2024-02-23T13:22:00
income,3886.48,Bonus,Project payment,2023-09-06T01:11:00
income,1492.13,Salary,Project payment,2024-10-17T17:56:00
expense,45.16,Food,Bus fare,2024-06-18T01:46:00
expense,251.45,Utilities,Grocery shopping,2024-11-19T19:47:00
expense,84.03,Food,Doctor visit,2024-07-01T13:29:00
income,4832.47,Investment,Birthday gift,2023-05-26T19:09:00
income,3794.68,Bonus,Project payment,2024-01-20T17:24:00
income,3851.8,Salary,Annual bonus,2023-08-25T19:53:00
income,3471.67,Investment,Stock dividends,2023-11-05T08:37:00
expense,36.52,Food,,2023-10-26T04:55:00
income,3506.4,Salary,,2023-05-07T03:05:00
income,1727.7,Gift,,2023-12-16T01:13:00
income,4224.01,Investment,Stock dividends,2024-02-02T19:30:00
income,2655.24,Salary,Birthday gift,2023-04-13T08:15:00
expense,76.37,Food,Bus fare,2023-02-06T08:39:00
expense,266.16,Entertainment,Grocery shopping,2023-12-31T11:02:00
income,2192.58,Gift,Project payment,2024-02-08T16:39:00
income,3540.89,Salary,Project payment,2023-05-19T15:39:00
income,2894.29,Bonus,Stock dividends,2023-07-01T01:00:00
expense,368.15,Food,,2024-01-08T12:38:00
income,761.38,Bonus,Stock dividends,2024-01-11T14:27:00
income,2272.32,Freelance,Annual bonus,2023-08-24T06:06:00
expense,405.15,Entertainment,Doctor visit,2024-06-30T13:20:00
expense,130.34,Misc,Grocery shopping,2024-05-27T23:35:00
expense,178.45,Rent,Electricity bill,2024-08-08T11:49:00
income,2527.89,Freelance,Birthday gift,2023-09-16T23:54:00
expense,426.94,Misc,Grocery shopping,2024-02-26T06:49:00
expense,373.76,Misc,Movie tickets,2024-01-23T00:49:00
expense,326.26,Entertainment,,2024-01-09T03:58:00
income,3414.45,Gift,,2024-03-11T18:43:00
expense,262.46,Food,,2024-07-12T12:49:00
income,3190.77,Bonus,Annual bonus,2023-04-27T05:35:00
expense,266.65,Misc,Electricity bill,2024-07-11T20:42:00
expense,104.04,Rent,Bus fare,2024-06-06T22:37:00
expense,276.04,Healthcare,Bus fare,2023-04-19T08:29:00
income,3254.32,Bonus,Stock dividends,2023-05-21T09:55:00
expense,344.55,Transportation,Monthly rent,2023-03-22T09:33:00
expense,413.14,Misc,Monthly rent,2024-10-16T03:52:00
income,2599.02,Salary,Annual bonus,2024-06-13T11:46:00
expense,352.82,Food,Doctor visit,2024-06-24T10:35:00
expense,133.57,Entertainment,,2024-09-28T12:06:00
expense,450.42,Entertainment,Bus fare,2023-11-04T07:51:00
expense,10.64,Transportation,Monthly rent,2024-03-19T16:57:00
income,2064.71,Investment,Monthly salary,2024-10-19T10:29:00
income,603.62,Freelance,Stock dividends,2024-01-13T07:52:00
expense,77.83,Food,Electricity bill,2024-01-21T18:30:00
expense,349.17,Food,Monthly rent,2023-10-08T22:39:00
income,1007.79,Investment,Annual bonus,2024-01-23T21:32:00
income,4305.68,Bonus,,2024-05-06T15:22:00
expense,434.78,Utilities,Electricity bill,2024-01-03T17:45:00
expense,426.94,Misc,Electricity bill,2023-10-02T15:29:00
income,1376.01,Freelance,Annual bonus,2023-07-22T19:46:00
expense,353.89,Entertainment,Grocery shopping,2023-06-18T12:01:00
expense,239.73,Misc,Movie tickets,2024-12-25T06:14:00
income,4906.52,Investment,,2024-03-26T22:28:00
income,2053.22,Salary,Monthly salary,2024-05-25T02:39:00
income,4680.66,Investment,Annual bonus,2023-01-18T13:22:00
expense,95.84,Misc,Monthly rent,2024-11-26T19:27:00
expense,160.22,Rent,Movie tickets,2023-06-13T11:03:00
expense,409.49,Misc,Monthly rent,2024-10-12T16:34:00
expense,378.96,Entertainment,Movie tickets,2023-08-31T12:01:00
income,668.13,Investment,,2023-02-11T20:38:00
expense,267.94,Transportation,Electricity bill,2024-10-18T20:02:00
expense,17.98,Rent,,2023-06-01T12:17:00
expense,327.46,Transportation,Grocery shopping,2024-05-26T09:59:00
income,1293.55,Bonus,Annual bonus,2023-07-20T22:43:00
expense,414.59,Rent,Electricity bill,2023-03-07T09:35:00
expense,305.12,Healthcare,Movie tickets,2024-08-01T13:49:00
income,2426.97,Gift,Project payment,2024-10-08T11:31:00
income,1723.42,Gift,Birthday gift,2023-06-15T23:54:00
expense,276.5,Utilities,Doctor visit,2023-12-23T05:53:00
income,4770.75,Investment,Annual bonus,2024-12-01T01:52:00
income,4808.51,Freelance,Birthday gift,2024-10-11T07:30:00
expense,252.3,Entertainment,Bus fare,2024-09-14T10:07:00
income,1173.38,Freelance,Project payment,2024-02-29T20:22:00
income,1158.07,Freelance,Stock dividends,2024-02-22T20:11:00
expense,250.43,Rent,Movie tickets,2023-06-14T19:40:00
expense,241.24,Entertainment,,2024-12-19T14:06:00
expense,406.36,Entertainment,Bus fare,2024-01-24T09:01:00
expense,45.36,Rent,Movie tickets,2024-01-20T03:39:00
expense,155.03,Food,Monthly rent,2023-09-19T06:10:00
income,1132.37,Gift,Stock dividends,2023-01-09T03:44:00
expense,263.4,Entertainment,Movie tickets,2023-01-30T13:35:00
expense,422.56,Utilities,Monthly rent,2024-10-07T20:39:00
expense,441.83,Misc,Doctor visit,2023-07-20T05:15:00
income,2968.55,Investment,,2024-11-13T19:53:00
